Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
(G)I-DLE,,(여자)아이들,2018-05-02,Cube,6,6,,Yes
15&,,피프틴앤드,2012-10-05,JYP,2,2,,No
2EYES,,투아이즈,2013-07-20,SidusHQ,4,5,,No
2NE1,,투애니원,2009-05-06,YG,4,4,Blackjack,No
3YE,,써드아이,2019-05-21,GH,3,3,,Yes
4Minute,,포미닛,2009-06-15,Cube,5,5,4nia,No
4TEN,,포텐,2014-08-26,Jungle,4,4,,Yes
9Muses,Nine Muses,나인뮤지스,2010-08-12,Star Empire,4,9,MINE,No
A.DE,,에이디이,2016-07-23,2ABLE,6,7,,No
ABRY,,에이브리,2017-11-15,withHC,4,4,,Yes
After School,,애프터스쿨,2009-01-15,Pledis,6,5,Playgirlz,No
AiRiSu,,아이리수,2018-07-25,Jang,4,4,,Yes
ANS,,에이엔에스,2019-09-16,ANS,8,6,,Yes
AOA,,에이오에이,2012-07-30,FNC,5,8,ELVIS,Yes
Apink,,에이핑크,2011-04-19,Plan A,6,7,Pink Panda,Yes
Apple.B,,애플비,2017-08-01,GH,5,5,,No
April,,에이프릴,2015-08-24,DSP,6,6,Fineapple,Yes
Ariaz,,아리아즈,2019-10-23,Rising Star,6,6,,Yes
Baby V.O.X,,베이비복스,1997-07-05,DR Music,5,5,,No
Badkiz,,배드키즈,2014-03-24,Zoo,5,5,,Yes
Berry Good,,베리굿,2014-05-21,Asia Bridge,6,5,,Yes
BESTie,,베스티,2013-07-11,YNB,4,4,BESTiny,No
BLACKPINK,,블랙핑크,2016-08-08,YG,4,4,,Yes
Blady,,블레이디,2011-05-16,Star Planet,5,4,Hi ade,No
Bloomy,,블루미,2016-02-01,DS,4,4,,Yes
Bob Girls,,단발머리,2014-06-10,Chrome,4,4,,No
Bolbbalgan4,BOL4,볼빨간사춘기,2016-04-22,Shofar,2,2,,Yes
Bonus Baby,,보너스베이비,2017-01-01,Maroo,6,6,,Hiatus
Brave Girls,,브레이브걸스,2011-03-31,Brave,5,5,,Yes
Brown Eyed Girls,B.E.G.,브라운 아이드 걸스,2006-03-02,Mystic,4,4,Everlasting,Yes
Bulldok,,불독,2016-10-20,Kconic,5,3,,No
Busters,,버스터즈,2017-11-27,JTG,5,5,Bu-Chu,Yes
BVNDIT,,밴디트,2019-04-10,MNH,5,5,,Yes
C-REAL,,씨리얼,2011-10-11,NAP,3,5,,No
Camila,,카밀라,2018-08-29,Camila,3,3,,No
Cherry Bullet,,체리블렛,2019-01-21,FNC,7,10,,Yes
Cherry On Top,,체리온탑,2018-08-09,United,4,4,,Yes
ChoColat,,쇼콜라,2011-08-16,Paramount,5,5,Chocolatier,No
cignature,,시그니처,2020-02-04,C9,7,7,,Yes
CLC,,씨엘씨,2015-03-18,Cube,7,5,Chesire,Yes
CoCoSoRi,,코코소리,2016-01-05,MOLE,2,2,,No
Crayon Pop,,크레용팝,2012-07-17,Chrome,4,5,,No
D-Unit,,디유닛,2012-08-01,D-Business,2,3,Unique,No
D.Holic,,디홀릭,2014-10-29,H.Mate,4,5,,No
Dal Shabet,,달샤벳,2011-01-03,Happy Face,4,6,Darling,Hiatus
Davichi,,다비치,2008-02-04,CJ E&M,2,2,,Yes
Destiny,,데스티니,2018-09-28,D-SIDE,4,4,,Yes
DIA,,다이아,2015-07-14,MBK,7,7,AID,Yes
Dorothy,,도로시,2016-08-16,Leek Mill,3,5,,No
DreamCatcher,,드림캐쳐,2017-01-13,Happy Face,7,7,,Yes
Dreamnote,,드림노트,2018-11-07,iME,6,8,,Yes
ELRIS,,엘리스,2017-07-01,Hunus,7,5,,Yes
Episode,,에피소드,2020-02-04,Pops,5,5,,Yes
Everglow,,에버글로우,2019-03-18,Yuehua,6,6,,Yes
EvoL,,이블,2012-08-10,Stardom,5,5,Voller,No
EXID,,이엑스아이디,2012-02-16,Yedang,5,6,LEGO,Yes
f(x),,에프엑스,2009-08-24,SM,4,5,MeU,No
F-ve Dolls,5Dolls,파이브돌스,2011-01-20,MBK,6,5,,No
Favorite,,페이버릿,2017-07-05,Astory,6,6,,Yes
Fiestar,,피에스타,2012-08-31,LOEN,5,6,Let's,No
FLAVOR,,플레이버,2018-11-26,FENT,3,3,,Yes
fromis_9,,프로미스나인,2018-01-24,Stone,9,9,,Yes
Gavy NJ,,가비엔제이,2005-11-11,Good Fellas,3,3,,Yes
Gawi Bawi Bo,GBB,지비비,2018-05-01,LOUDers,5,5,,Yes
GeeGu,,지구,2017-10-26,NOS,7,9,,Yes
Gfriend,,여자친구,2015-01-15,Source,6,6,Buddy,Yes
GI,Global Icon,지아이,2013-04-03,Simtong,3,5,,No
Girl's Day,GsD,걸스데이,2010-07-07,DreamT,4,5,Dai5y,Hiatus
Girlkind,,걸카인드,2018-01-16,Nextlevel,5,5,,Yes
Girls Girls,,여자여자,2015-12-09,H Brothers,4,5,,No
Girls' Alert,GsA,소녀주의보,2017-05-25,Roots,5,5,,Yes
Girls' Generation,SNSD,소녀시대,2007-08-05,SM,5,9,SONE,Yes
GLAM,,글램,2012-07-16,Big Hit,4,4,,No
Good Day,,굿데이,2017-08-30,C9,10,10,,No
GP Basic,,지피 베이직,2011-03-18,Jacyhan,4,6,Spade,No
Greyish,,그레이시,2017-06-01,Elijah,4,4,,Yes
Gugudan,,구구단,2016-06-28,Jellyfish,8,9,,Yes
GWSN,,공원소녀,2018-09-05,Kiwi Pop,7,7,Groo,Yes
H.U.B,HUB,허브,2017-02-09,New Planet,5,4,,Yes
Hash Tag,Hashtag,해시태그,2017-10-11,LUK,7,7,,Yes
Hello Venus,HV,헬로비너스,2012-05-09,Fantagio,6,6,Hello Cupid,No
Heygirls,,헤이걸스,2017-11-20,Moai,4,4,,Yes
Hi Cutie,,하이큐티,2017-10-12,Space,4,5,,Yes
HighSchool,,여고생,2019-04-30,Richworld,4,4,High Class,Yes
Highteen,,하이틴,2016-10-14,Elijah,4,4,,Yes
Hinapia,,희나피아,2019-11-03,Alseulbit,5,5,,Yes
Hint,,힌트,2017-03-31,Starpro,5,7,,Yes
Honey Popcorn,,허니팝콘,2018-03-21,Kyun Create,3,3,,Yes
I.C.E,,아이스,2015-11-16,HS,3,4,,Yes
ITZY,,있지,2019-02-12,JYP,5,5,Mitzy,Yes
IZ*ONE,IZONE,아이즈원,2018-10-29,Off The Record,12,12,,Yes
Jewelry,,쥬얼리,2001-03-30,Star Empire,4,4,,No
KARA,,카라,2007-03-29,DSP,4,5,Kamilia,No
KHAN,,칸,2018-05-23,Maroo,2,2,,No
Kitten Girls,,키튼걸스,2018-09-04,Wannabe,4,4,,Yes
Laboum,,라붐,2014-08-27,NH,5,6,Latte,Yes
Ladies' Code,LC,레이디스 코드,2013-03-07,Polaris,3,5,Lavely,Hiatus
LipBubble,,립버블,2017-03-22,Zenith,7,7,,Yes
Loona,LOOΠΔ,이달의 소녀,2016-10-04,Blockberry,12,12,,Yes
Lovelyz,,러블리즈,2014-11-17,Woollim,8,8,Lovelinus,Yes
Lusty,,러스티,2019-06-26,babaplay,5,5,,Yes
Mamamoo,,마마무,2014-06-18,RBW,4,4,Moomoo,Yes
Marmello,,마르멜로,2017-05-24,Rolling,5,5,,No
Matilda,,마틸다,2016-03-18,Box,4,4,,No
Melody Day,,멜로디데이,2014-02-25,Cre.Ker,4,3,,No
Minx,,밍스,2014-09-18,Happy Face,5,5,,No
miss A,,미쓰에이,2010-07-01,JYP,3,4,Say A,No
Mixx,,믹스,2016-05-02,Chiko,5,4,,No
Momoland,,모모랜드,2016-11-09,Double Kick,6,7,,Yes
myB,,마이비,2015-08-25,Maroo,6,6,,No
Nature,,네이처,2018-08-03,n.CH,9,9,,Yes
O21,,오투원,2016-06-21,Houxiu,3,6,,No
Oh My Girl,OHMG,오마이걸,2015-04-21,WM,7,8,Miracle,Yes
OhBliss,,오블리스,2016-10-17,JT Corea,5,5,,Yes
P.O.P,,피오피,2017-07-26,DWM,6,6,,Yes
Pink Fantasy,,핑크판타지,2018-10-28,My Doll,8,8,,Yes
Playback,,플레이백,2015-06-25,Coridel,5,4,,Yes
Pristin,,프리스틴,2017-03-21,Pledis,10,10,,No
Pungdeng-E,,풍뎅이,2013-12-11,DOMA,3,3,,Yes
PURPLEBECK,,퍼플백,2019-06-24,Majesty,5,5,Beckies,Yes
Rainbow,,레인보우,2010-08-12,DSP,7,7,,No
Rania,,라니아,2011-04-06,DR,5,8,,Yes
Red Velvet,RV,레드벨벳,2014-08-01,SM,5,4,,Yes
Rockit Girl,,락킷걸,2019-05-30,Rolling,2,2,,Yes
Rose Finger,,로즈핑거,2018-10-03,YC:Bros,4,4,,Yes
Rubber Soul,,러버소울,2015-02-10,Happy Tribe,2,3,,Yes
S.E.S,,에스.이.에스,1997-11-01,SM,3,3,,No
S.I.S,,에스아이에스,2017-08-25,Double X,6,6,,Yes
Saturday,,세러데이,2018-07-18,SD,6,7,,Yes
SECRET,,시크릿,2009-10-13,TS,3,4,Secret Time,No
Sha Sha,,샤샤,2018-02-27,Major Ent,6,6,,No
SISTAR,,씨스타,2011-08-09,Starship,4,4,STAR1,No
Sonamoo,,소나무,2014-12-29,TS,5,7,Solbangul,Yes
SPICA,,스피카,2012-02-07,CJ E&M,5,5,Mercury,No
Stellar,,스텔라,2011-08-28,Pascal,4,4,Twinkle,No
Sunny Hill,,써니힐,2007-09-20,Nega,4,5,,No
T-ara,,티아라,2009-07-29,MBK,4,6,QUEEN'S,Hiatus
Tahiti,,타히티,2012-06-23,J-line,5,6,,No
The Grace,CSJH,천상지희,2005-04-29,SM,3,4,,No
Tiny-G,,타이니지,2012-08-23,GNG,3,4,,No
TWICE,,트와이스,2015-10-20,JYP,9,9,Once,Yes
Two X,,투엑스,2012-08-20,J. Tune,4,5,,No
Uni.T,,유니티,2018-05-18,Unit Culture,8,9,,No
Unicorn,,유니콘,2015-09-03,Cartoon Blue,4,5,,No
Wable,,와블,2016-02-17,Kiwi,2,2,,Yes
Wanna.B,,워너비,2014-11-17,Zenith,5,4,Ru.B,Yes
Wassup,,와썹,2013-08-07,Mafia,7,7,,No
We Girls,,위걸스,2018-08-31,Afternoon,8,8,,Yes
Weki Meki,WeMe,위키미키,2017-08-08,Fantagio,8,8,,Yes
WJSN,Cosmic Girls,우주소녀,2016-02-25,Starship,13,12,Ujung,Yes
Wonder Girls,WG,원더걸스,2007-02-13,JYP,4,5,Wonderful,No
Yellow Bee,,옐로비,2017-11-23,Addiction,5,5,,Yes
100%,,백퍼센트,2012-09-18,TOP Media,4,7,Perfection,Yes
14U,,원포유,2017-04-17,BG,14,14,,Yes
1the9,,원더나인,2019-02-09,MBK,9,9,,Yes
24K,,투포케이,2012-09-06,Choeun,8,6,24U,Yes
"2AM,,투에이엠,2008-06-21,""JYP, Big Hit"",4,4,I Am,No"
2PM,,투피엠,2008-07-04,JYP,6,7,Hottest,Yes
8Eight,,에이트,2007-09-06,Big Hit,3,3,Sweet Voice,No
A-JAX,,에이젝스,2012-06-01,DSP,5,7,A-LIGHT,No
A.C.E,ACE,에이스,2017-05-23,Beat,5,5,Choice,Yes
A.cian,,에이션,2012-10-10,Wings,4,5,,No
A6P,,에이식스피,2015-05-20,DS,6,6,,No
AB6IX,,에이비식스,2019-05-22,Brand New,5,5,ABNEW,Yes
AlphaBat,,알파벳,2013-11-14,Simtong,5,9,,Yes
ASTRO,,아스트로,2016-02-23,Fantagio,6,6,AROHA,Yes
ATEEZ,,에이티즈,2018-10-24,KQ,8,8,,Yes
B.A.P,BAP,비에이피,2012-01-27,TS,6,6,BABY,No
B.Heart,,비하트,2017-01-25,Poong,4,4,,Yes
B.I.G,,비아이지,2014-07-09,GH,5,5,,Yes
B1A4,,비원에이포,2010-04-19,WM,5,5,BANA,Yes
Be.A,,비에이,2017-05-25,Chrome,3,5,,Yes
Beatwin,,비트윈,2014-01-06,Elen,2,6,,Hiatus
BIGBANG,,빅뱅,2006-08-19,YG,4,5,VIP,Yes
Bigflo,,빅플로,2014-07-19,HO,5,5,,Yes
BIGSTAR,,빅스타,2012-07-12,Brave,5,5,,No
BLACK6IX,,블랙식스,2017-04-07,BLACK HOLE,6,6,,Yes
Blanc7,,블랑세븐,2017-03-03,Jackpot,7,7,Prism,No
BLK,,비엘케이,2017-11-28,Byking,7,7,,No
Block B,,블락비,2011-04-13,KQ,7,7,BBC,Yes
Boyfriend,,보이프렌드,2011-05-26,Starship,6,6,Bestfriend,No
"Boys Republic,,소년공화국,2013-06-03,""Happy Tribe, Universal"",5,5,Royal Family,Hiatus"
BtoB,,비투비,2012-03-21,Cube,7,7,Melody,Yes
BTS,Bangtan Boys,방탄소년단,2013-06-13,Big Hit,7,7,ARMY,Yes
C-Clown,,씨클라운,2012-06-19,Yedang,6,6,Crown,No
CICI,,씨씨,2019-06-27,UPVOTE,4,4,,Yes
CIX,,씨아이엑스,2019-07-23,C9,5,5,,Yes
CNBLUE,,씨엔블루,2010-01-14,FNC,4,4,Boice,Yes
CRAVITY,,크래비티,2020-04-04,Starship,9,9,,Yes
CROSS GENE,,크로스진,2012-07-08,Amuse,5,6,Chromosome,Yes
D-Crunch,,디크런치,2018-08-06,All-S,9,9,,Yes
Dalmatian,DMTN,달마시안,2010-09-01,Monkey Funch,7,7,Dalmate,No
DAY6,,데이식스,2015-09-07,JYP,5,6,,Yes
DKB,Darkbee,다크비,2020-02-03,Brave,9,9,,Yes
ENOi,,이엔오아이,2019-04-19,KITHEWHALE,7,7,,Yes
EXO,,엑소,2012-04-08,SM,9,12,EXO-L,Yes
"Fly to the Sky,,플라이 투 더 스카이,1999-11-21,""SM, H2"",2,2,Fly High,Yes"
FTISLAND,,에프티 아일랜드,2007-06-07,FNC,4,5,Primadonna,Yes
"g.o.d.,,지오디,1999-01-26,""JYP, SidusHQ"",5,5,Fan God,Yes"
Golden Child,,골든 차일드,2017-08-28,Woollim,10,11,,Yes
GOT7,,갓세븐,2014-01-16,JYP,7,7,I GOT7,Yes
GreatGuys,,멋진녀석들,2017-08-25,DNA,9,9,Grace,Yes
H.B.Y,Hot Blood Youth,열혈남아,2017-08-16,Rainbow,5,5,,Yes
H.O.T,,에이치오티,1996-09-07,SM,5,5,Club H.O.T,No
HALO,,헤일로,2014-07-26,Histar,6,6,,Yes
HIGH4,,하이포,2014-04-08,NAP,4,4,,No
Highlight,Beast,하이라이트,2009-10-14,Around Us,4,6,B2uty,Yes
HISTORY,,히스토리,2013-04-26,LOEN,5,5,Storia,No
Homme,,옴므,2010-06-28,Big Hit,2,2,,Yes
Honeyst,,허니스트,2017-05-17,FNC,4,4,,Yes
Hotshot,,핫샷,2014-10-29,Star Crew,5,6,,Yes
iKON,,아이콘,2015-09-15,YG,6,7,iKONIC,Yes
Imfact,,임팩트,2016-01-27,Star Empire,5,5,,Yes
IN2IT,,인투잇,2017-10-26,MMO,7,8,,Yes
Infinite,,인피니트,2010-06-09,Woollim,6,7,Inspirit,Yes
INX,,인엑스,2016-08-02,NA,5,5,,No
IZ,,아이즈,2017-08-31,Music K,4,4,,Yes
JBJ,,제이비제이,2017-10-18,Fave,6,6,,No
JBJ95,,제이비제이95,2018-10-30,Hunus,2,2,,Yes
JJCC,,제이제이씨씨,2014-03-13,Jackie Chan Group,5,6,,Yes
JYJ,,제이와이제이,2010-09-08,C-JeS,3,3,Cassiopeia,Yes
K-Much,,케이머치,2014-01-07,Chrome,4,5,,No
KNK,,크나큰,2016-03-03,YNB,5,5,Tinker Bell,Yes
Limitless,,리미트리스,2019-07-09,ONO,4,4,,Yes
LU:KUS,,루커스,2014-07-04,JWK,4,5,,Yes
Lucente,,루첸트,2018-09-18,NOGA,7,7,,Yes
M.I.B,,엠아이비,2011-10-26,Jungle,4,4,,No
M.O.N.T,MONT,몬트,2019-01-04,FM,3,3,,Yes
Madtown,,매드타운,2014-10-06,GNI,7,7,,No
MAP6,,맵식스,2015-11-10,DreamT,5,5,,Yes
Masc,,마스크,2016-08-19,JJ Holic,4,8,,Yes
MBLAQ,,엠블랙,2009-10-14,J. Tune,3,5,A+,Yes
Mfect,M.fect,엠펙트,2015-04-27,Midas,5,5,,Yes
MONSTA X,,몬스타엑스,2014-05-14,Starship,6,7,Monbebe,Yes
MR.MR,,미스터미스터,2012-10-04,WinningIn,6,5,,Yes
MustB,,머스트비,2019-01-21,MustM,7,7,,Yes
MVP,,엠브이피,2017-03-13,PH,7,7,,Yes
MXM,,엠엑스엠,2017-09-06,Brand New,2,2,,Yes
MYNAME,,마이네임,2011-10-27,H2,5,5,MYgirl,Yes
Myteen,,마이틴,2017-07-26,The Music Works,6,7,,Yes
N-Sonic,,엔소닉,2011-10-05,C2K,6,5,,No
N-Train,,엔트레인,2011-05-27,MediaLine,5,5,,No
N.Flying,,엔플라잉,2015-05-20,FNC,4,4,N.Fia,Yes
NCT,,엔시티,2016-04-09,SM,18,18,NCTzen,Yes
Newkidd,,뉴키드,2019-04-25,J-FLO,7,7,,Yes
Noir,,느와르,2018-04-09,LUK,9,9,,Yes
NTB,,엔티비,2018-05-28,High Choice,6,6,,Yes
NU'EST,,뉴이스트,2012-03-15,Pledis,5,5,LOΛΕ,Yes
Oneus,,원어스,2019-01-09,RBW,6,6,,Yes
ONF,,온앤오프,2017-08-02,WM,6,7,,Yes
PENTAGON,PTG,펜타곤,2016-10-10,Cube,9,10,,Yes
"Phantom,,팬텀,2011-11-25,""Brand New, RBW"",3,3,,No"
RAINZ,,레인즈,2017-10-12,(Genie),7,7,Rainzer,No
Road Boyz,,로드 보이즈,2015-11-17,Coconut,5,5,,No
ROMEO,,로미오,2015-11-04,CT,7,7,,Yes
"SECHKIES,6KIES,젝스키스,1997-04-15,""DSP, YG"",5,6,Yellowkies,Yes"
"Seven O'Clock,SOC,세븐어클락,2017-03-16,""Staro, KDH"",5,6,,Yes"
Seventeen,SVT,세븐틴,2015-05-26,Pledis,13,13,Carat,Yes
SF9,,에스에프나인,2016-10-05,FNC,9,9,Fantasy,Yes
SG Wannabe,,SG 워너비,2004-01-20,B2M,3,4,,Yes
SHINee,,샤이니,2008-05-22,SM,4,5,Shawol,Yes
"Shinhwa,,신화,1998-03-24,""SM, Good, Shinhwa"",6,6,Shinhwa Changjo,Yes"
Signal,,시그널,2019-08-28,J-Star,4,4,,Yes
Snuper,,스누퍼,2015-11-16,Widmay,6,6,Swing,Yes
Spectrum,,스펙트럼,2018-05-09,WYNN,6,7,,Yes
Speed,,스피드,2013-01-15,MBK,7,7,,No
"SS501,,더블에스오공일,2005-06-08,""DSP, CI"",5,5,Triple S,No"
Stray Kids,SKZ,스트레이 키즈,2018-03-26,JYP,9,9,,Yes
Super Junior,SJ,슈퍼주니어,2005-11-06,SM,11,12,ELF,Yes
Supernova,,초신성,2007-09-21,CJ E&M,5,6,,Yes
Target,,타겟,2018-01-23,TNS,7,7,,Yes
Teen Top,,틴탑,2010-07-09,TOP Media,5,6,Angel,Yes
The Boyz,,더보이즈,2017-12-31,Cre.Ker,12,12,,Yes
The Eastlight,,더 이스트라이트,2016-11-03,MediaLine,6,6,,No
The Legend,,전설,2014-07-09,SS,5,5,,No
THE MAN BLK,,더 맨 블랙,2018-11-15,Stardium,10,10,,Yes
"ToppDogg,,탑독,2013-10-22,""Stardom, Hunus"",5,13,ToppKlass,No"
TRAX,,트랙스,2004-07-20,SM,2,4,,No
TRCNG,,티알씨엔지,2017-10-10,TS,10,10,,Yes
TST,Top Secret,일급비밀,2017-01-04,JSL,7,7,,Yes
"Turbo,,터보,1995-09-06,""MBK, Turbo Co."",3,2,,Hiatus"
TVXQ!,TVXQ,동방신기,2003-12-26,SM,2,5,Cassiopeia,Yes
TXT,,투모로우바이투게더,2019-03-04,Big Hit,5,5,,Yes
U-KISS,,유키스,2008-08-28,NH Media,6,6,Kissme,Yes
UNB,,유앤비,2018-04-07,Unit Culture,9,9,,No
UNIQ,,유니크,2014-10-20,Yuehua,5,5,Unicorn,Yes
UP10TION,,업텐션,2015-09-11,TOP Media,10,10,HONEY10,Yes
Varsity,,바시티,2017-01-05,GKC,12,12,,Yes
VAV,,브이에이브이,2015-10-31,A team,7,6,,Yes
Verivery,VRVR,베리베리,2019-09-01,Jellyfish,7,7,,Yes
VERMUDA,,버뮤다,2017-07-13,JJJ,5,5,,Yes
VICTON,,빅톤,2016-11-09,Plan A,7,7,Alice,Yes
VIXX,,빅스,2012-05-24,Jellyfish,6,6,Starlight,Yes
VOISPER,,보이스퍼,2016-02-23,Evermore,4,4,,Yes
VROMANCE,,브로맨스,2016-06-12,RBW,4,4,,Yes
Wanna One,,워너원,2017-08-07,YMC,11,11,Wannable,No
We In The Zone,,위인더존,2019-05-27,Choon,5,5,,Yes
WINNER,,위너,2014-08-12,YG,4,5,Ace,Yes
ZE:A,,제국의 아이들,2010-01-07,Star Empire,9,9,ZE:A Style,Hiatus
